iter	Passed	Remaining
399	61349	77299
400	61531	77183
401	61675	77018
402	61821	76855
403	61984	76714
404	62148	76573
405	62305	76424
406	62449	76258
407	62587	76087
408	62736	75927
409	62873	75754
410	63002	75572
411	63137	75397
412	63291	75244
413	63456	75105
414	63618	74963
415	63764	74800
416	63913	74642
417	64070	74493
418	64240	74359
419	64366	74175
420	64517	74018
421	64661	73855
422	64813	73699
423	64970	73551
424	65119	73393
425	65265	73232
426	65429	73090
427	65601	72958
428	65755	72806
429	65903	72647
430	66062	72499
431	66244	72378
432	66387	72213
433	66547	72067
434	66707	71921
435	66858	71765
436	67012	71613
437	67157	71451
438	67298	71283
439	67474	71154
440	67619	70992
441	67776	70843
442	67921	70681
443	68066	70519
444	68245	70392
445	68387	70227
446	68527	70060
447	68668	69894
448	68815	69734
449	68977	69590
450	69115	69421
451	69265	69265
452	69418	69112
453	69578	68965
454	69723	68803
455	69878	68652
456	70037	68505
457	70220	68380
458	70361	68215
459	70503	68051
460	70649	67891
461	70788	67723
462	70926	67556
463	71075	67399
464	71209	67228
465	71348	67061
466	71522	66927
467	71654	66754
468	71795	66590
469	71940	66429
470	72099	66282
471	72261	66137
472	72409	65980
473	72546	65811
474	72690	65651
475	72820	65477
476	72961	65313
477	73124	65169
478	73268	65008
479	73430	64863
480	73592	64718
481	73737	64558
482	73867	64385
483	74026	64238
484	74204	64106
485	74355	63952
486	74506	63797
487	74640	63627
488	74780	63464
489	74915	63296
490	75046	63124
491	75194	62967
492	75340	62809
493	75511	62671
494	75645	62503
495	75780	62335
496	75924	62175
497	76078	62023
498	76237	61876
499	76403	61734
500	76560	61584
501	76712	61431
502	76863	61276
503	77012	61121
504	77167	60969
505	77345	60837
506	77525	60705
507	77675	60550
508	77837	60404
509	77990	60251
510	78158	60110
511	78304	59951
512	78461	59801
513	78599	59637
514	78737	59473
515	78885	59316
516	79037	59163
517	79171	58996
518	79327	58845
519	79497	58705
520	79649	58552
521	79809	58404
522	79950	58243
523	80130	58110
524	80290	57962
525	80441	57808
526	80573	57639
527	80712	57476
528	80847	57311
529	80989	57151
530	81124	56985
531	81273	56830
532	81443	56689
533	81606	56543
534	81757	56389
535	81900	56230
536	82056	56079
537	82210	55927
538	82348	55764
539	82490	55604
540	82631	55443
541	82771	55282
542	82920	55127
543	83062	54967
544	83205	54808
545	83367	54662
546	83538	54521
547	83676	54359
548	83817	54198
549	83955	54036
550	84129	53897
551	84274	53740
552	84428	53588
553	84582	53436
554	84725	53277
555	84878	53125
556	85026	52969
557	85156	52803
558	85292	52640
559	85468	52501
560	85623	52350
561	85819	52224
562	85991	52083
563	86160	51940
564	86320	51792
565	86470	51637
566	86621	51484
567	86756	51320
568	86903	51164
569	87043	51004
570	87190	50848
571	87365	50708
572	87518	50555
573	87678	50407
574	87828	50253
575	87991	50106
576	88155	49959
577	88299	49802
578	88452	49649
579	88597	49492
580	88748	49338
581	88900	49185
582	89057	49035
583	89201	48877
584	89379	48738
585	89540	48590
586	89695	48438
587	89847	48285
