iter	Logloss
249	0.6760108985
250	0.6759970398
251	0.6759846912
252	0.6759720581
253	0.6759561723
254	0.6759399205
255	0.6759294887
256	0.6759127781
257	0.6758924431
258	0.6758770509
259	0.6758612697
260	0.6758408765
261	0.675828284
262	0.6758124389
263	0.6758017747
264	0.6757842568
265	0.6757681154
266	0.6757564174
267	0.6757415654
268	0.6757294782
269	0.6757122333
270	0.6757029399
271	0.6756816175
272	0.6756646803
273	0.6756472495
274	0.6756333907
275	0.6756153268
276	0.675600167
277	0.6755805232
278	0.6755604495
279	0.6755464688
280	0.6755338182
281	0.6755187979
282	0.675504579
283	0.6754911559
284	0.6754749913
285	0.6754583039
286	0.6754404607
287	0.6754231169
288	0.6754047103
289	0.6753868322
290	0.6753676066
291	0.675355682
292	0.6753458078
293	0.6753359685
294	0.6753238465
295	0.6753081291
296	0.6752919528
297	0.6752762122
298	0.6752642238
299	0.6752465257
300	0.6752350775
301	0.6752218693
302	0.675200756
303	0.675185451
304	0.6751662834
305	0.6751480975
306	0.6751326008
307	0.6751151525
308	0.6751039657
309	0.6750869472
310	0.6750704224
311	0.6750555298
312	0.6750431929
313	0.6750302577
314	0.6750197098
315	0.6750010824
316	0.6749834773
317	0.6749724066
318	0.6749570377
319	0.674941512
320	0.6749299998
321	0.6749185632
322	0.6749019978
323	0.6748883365
324	0.6748762784
325	0.674859684
326	0.6748474922
327	0.6748335406
328	0.6748148958
329	0.6747995443
330	0.6747896818
331	0.674778036
332	0.6747571434
333	0.6747423844
334	0.6747263417
335	0.6747103165
336	0.6746994316
337	0.6746887966
338	0.6746735438
339	0.674658779
340	0.674642202
341	0.6746229125
342	0.6746121322
343	0.6745985116
344	0.6745816906
345	0.6745686451
346	0.6745477583
347	0.6745346721
348	0.6745159692
349	0.6745042073
350	0.6744876941
351	0.6744712565
352	0.6744562245
353	0.6744403735
354	0.6744227626
355	0.6744021836
356	0.6743848806
357	0.6743676356
358	0.6743575349
359	0.6743389946
360	0.6743201582
361	0.6743096915
362	0.674297372
363	0.6742721522
364	0.6742611221
365	0.6742457881
366	0.6742298848
367	0.6742207134
368	0.6742069476
369	0.6741900454
370	0.674175356
371	0.6741582911
372	0.6741415282
373	0.6741276637
374	0.6741086007
375	0.6740893112
376	0.6740734718
377	0.6740554369
378	0.6740395336
379	0.6740278008
380	0.6740107707
381	0.6739952915
382	0.6739810784
383	0.67396521
384	0.6739524026
385	0.6739371615
386	0.6739163676
387	0.6739000462
388	0.6738882959
389	0.6738741177
390	0.6738598698
391	0.6738452793
392	0.6738296025
393	0.6738164757
394	0.6737991494
395	0.6737791222
396	0.6737632189
397	0.6737432208
398	0.6737274801
399	0.6737130464
